dep_ct,arr_ct,loc,hour
1005,1018,175 N Harvard St,
49,69,175 N Harvard St,0
31,53,175 N Harvard St,1
61,15,175 N Harvard St,2
27,16,175 N Harvard St,3
7,5,175 N Harvard St,4
17,12,175 N Harvard St,5
40,58,175 N Harvard St,6
208,160,175 N Harvard St,7
309,218,175 N Harvard St,8
197,216,175 N Harvard St,9
312,350,175 N Harvard St,10
401,366,175 N Harvard St,11
433,380,175 N Harvard St,12
440,376,175 N Harvard St,13
397,442,175 N Harvard St,14
374,539,175 N Harvard St,15
464,644,175 N Harvard St,16
542,797,175 N Harvard St,17
679,674,175 N Harvard St,18
600,507,175 N Harvard St,19
451,320,175 N Harvard St,20
168,156,175 N Harvard St,21
109,110,175 N Harvard St,22
78,95,175 N Harvard St,23
35,42,18 Dorrance Warehouse,
1,28,18 Dorrance Warehouse,5
1,10,18 Dorrance Warehouse,9
1,11,18 Dorrance Warehouse,10
11,13,18 Dorrance Warehouse,11
13,18,18 Dorrance Warehouse,12
3,44,18 Dorrance Warehouse,13
8,19,18 Dorrance Warehouse,14
3,18,18 Dorrance Warehouse,16
4,15,18 Dorrance Warehouse,17
2,26,18 Dorrance Warehouse,19
480,484,191 Beacon St,
19,28,191 Beacon St,0
11,15,191 Beacon St,1
8,6,191 Beacon St,2
2,1,191 Beacon St,3
7,,191 Beacon St,4
8,3,191 Beacon St,5
55,10,191 Beacon St,6
156,33,191 Beacon St,7
125,98,191 Beacon St,8
135,58,191 Beacon St,9
149,76,191 Beacon St,10
126,93,191 Beacon St,11
127,96,191 Beacon St,12
138,138,191 Beacon St,13
132,149,191 Beacon St,14
174,143,191 Beacon St,15
160,196,191 Beacon St,16
176,226,191 Beacon St,17
236,230,191 Beacon St,18
176,259,191 Beacon St,19
79,220,191 Beacon St,20
70,109,191 Beacon St,21
55,63,191 Beacon St,22
40,41,191 Beacon St,23
614,615,30 Dane St,
14,11,30 Dane St,0
8,5,30 Dane St,1
1,3,30 Dane St,2
2,1,30 Dane St,3
1,2,30 Dane St,4
1,1,30 Dane St,5
9,12,30 Dane St,6
58,49,30 Dane St,7
129,160,30 Dane St,8
82,108,30 Dane St,9
89,104,30 Dane St,10
97,144,30 Dane St,11
113,128,30 Dane St,12
126,111,30 Dane St,13
115,142,30 Dane St,14
128,140,30 Dane St,15
142,172,30 Dane St,16
240,190,30 Dane St,17
245,238,30 Dane St,18
231,154,30 Dane St,19
134,88,30 Dane St,20
68,77,30 Dane St,21
104,46,30 Dane St,22
24,27,30 Dane St,23
1060,976,359 Broadway - Broadway at Fayette Street,
42,60,359 Broadway - Broadway at Fayette Street,0
19,39,359 Broadway - Broadway at Fayette Street,1
7,16,359 Broadway - Broadway at Fayette Street,2
6,5,359 Broadway - Broadway at Fayette Street,3
21,14,359 Broadway - Broadway at Fayette Street,4
63,19,359 Broadway - Broadway at Fayette Street,5
229,52,359 Broadway - Broadway at Fayette Street,6
292,87,359 Broadway - Broadway at Fayette Street,7
442,250,359 Broadway - Broadway at Fayette Street,8
392,171,359 Broadway - Broadway at Fayette Street,9
366,233,359 Broadway - Broadway at Fayette Street,10
367,255,359 Broadway - Broadway at Fayette Street,11
411,310,359 Broadway - Broadway at Fayette Street,12
336,305,359 Broadway - Broadway at Fayette Street,13
324,287,359 Broadway - Broadway at Fayette Street,14
286,348,359 Broadway - Broadway at Fayette Street,15
375,399,359 Broadway - Broadway at Fayette Street,16
531,580,359 Broadway - Broadway at Fayette Street,17
484,680,359 Broadway - Broadway at Fayette Street,18
371,592,359 Broadway - Broadway at Fayette Street,19
179,368,359 Broadway - Broadway at Fayette Street,20
113,295,359 Broadway - Broadway at Fayette Street,21
77,200,359 Broadway - Broadway at Fayette Street,22
56,108,359 Broadway - Broadway at Fayette Street,23
292,299,699 Mt Auburn St,
11,15,699 Mt Auburn St,0
13,18,699 Mt Auburn St,1
9,11,699 Mt Auburn St,2
3,3,699 Mt Auburn St,3
5,2,699 Mt Auburn St,4
35,31,699 Mt Auburn St,5
22,37,699 Mt Auburn St,6
56,43,699 Mt Auburn St,7
88,49,699 Mt Auburn St,8
90,51,699 Mt Auburn St,9
67,95,699 Mt Auburn St,10
124,118,699 Mt Auburn St,11
126,123,699 Mt Auburn St,12
127,131,699 Mt Auburn St,13
176,136,699 Mt Auburn St,14
147,167,699 Mt Auburn St,15
167,174,699 Mt Auburn St,16
170,208,699 Mt Auburn St,17
202,207,699 Mt Auburn St,18
128,157,699 Mt Auburn St,19
73,108,699 Mt Auburn St,20
32,68,699 Mt Auburn St,21
13,37,699 Mt Auburn St,22
14,31,699 Mt Auburn St,23
3,6,7 Acre Park,0
2,,7 Acre Park,2
3,,7 Acre Park,4
3,3,7 Acre Park,5
37,7,7 Acre Park,6
12,9,7 Acre Park,7
25,22,7 Acre Park,8
40,40,7 Acre Park,9
34,37,7 Acre Park,10
48,39,7 Acre Park,11
38,37,7 Acre Park,12
54,60,7 Acre Park,13
60,64,7 Acre Park,14
62,67,7 Acre Park,15
55,80,7 Acre Park,16
83,99,7 Acre Park,17
124,133,7 Acre Park,18
101,106,7 Acre Park,19
55,58,7 Acre Park,20
15,15,7 Acre Park,21
15,15,7 Acre Park,22
6,8,7 Acre Park,23
730,759,700 Commonwealth Ave.,
89,67,700 Commonwealth Ave.,0
52,50,700 Commonwealth Ave.,1
41,34,700 Commonwealth Ave.,2
8,5,700 Commonwealth Ave.,3
1,7,700 Commonwealth Ave.,4
4,27,700 Commonwealth Ave.,5
6,66,700 Commonwealth Ave.,6
28,118,700 Commonwealth Ave.,7
56,273,700 Commonwealth Ave.,8
80,237,700 Commonwealth Ave.,9
153,174,700 Commonwealth Ave.,10
175,168,700 Commonwealth Ave.,11
211,205,700 Commonwealth Ave.,12
297,282,700 Commonwealth Ave.,13
291,277,700 Commonwealth Ave.,14
296,220,700 Commonwealth Ave.,15
302,271,700 Commonwealth Ave.,16
457,360,700 Commonwealth Ave.,17
368,309,700 Commonwealth Ave.,18
273,247,700 Commonwealth Ave.,19
236,183,700 Commonwealth Ave.,20
180,155,700 Commonwealth Ave.,21
132,126,700 Commonwealth Ave.,22
120,75,700 Commonwealth Ave.,23
135,123,700 Huron Ave,
2,6,700 Huron Ave,0
4,1,700 Huron Ave,1
1,,700 Huron Ave,2
1,,700 Huron Ave,3
1,5,700 Huron Ave,4
2,4,700 Huron Ave,5
4,17,700 Huron Ave,6
41,13,700 Huron Ave,7
83,28,700 Huron Ave,8
28,28,700 Huron Ave,9
61,45,700 Huron Ave,10
67,49,700 Huron Ave,11
64,61,700 Huron Ave,12
42,57,700 Huron Ave,13
74,73,700 Huron Ave,14
81,77,700 Huron Ave,15
55,86,700 Huron Ave,16
117,133,700 Huron Ave,17
119,114,700 Huron Ave,18
118,90,700 Huron Ave,19
37,70,700 Huron Ave,20
14,49,700 Huron Ave,21
3,11,700 Huron Ave,22
2,10,700 Huron Ave,23
427,429,75 Binney St,
11,16,75 Binney St,0
7,11,75 Binney St,1
3,5,75 Binney St,2
1,55,75 Binney St,4
29,13,75 Binney St,5
45,69,75 Binney St,6
62,90,75 Binney St,7
151,253,75 Binney St,8
104,152,75 Binney St,9
80,103,75 Binney St,10
105,142,75 Binney St,11
116,123,75 Binney St,12
134,157,75 Binney St,13
140,162,75 Binney St,14
198,127,75 Binney St,15
247,135,75 Binney St,16
255,155,75 Binney St,17
235,147,75 Binney St,18
161,117,75 Binney St,19
141,113,75 Binney St,20
63,54,75 Binney St,21
21,42,75 Binney St,22
8,28,75 Binney St,23
189,188,84 Cambridgepark Dr,
12,13,84 Cambridgepark Dr,0
8,8,84 Cambridgepark Dr,2
8,6,84 Cambridgepark Dr,3
4,2,84 Cambridgepark Dr,5
9,8,84 Cambridgepark Dr,6
39,21,84 Cambridgepark Dr,7
90,69,84 Cambridgepark Dr,8
95,43,84 Cambridgepark Dr,9
77,47,84 Cambridgepark Dr,10
83,67,84 Cambridgepark Dr,11
85,89,84 Cambridgepark Dr,12
68,65,84 Cambridgepark Dr,13
114,94,84 Cambridgepark Dr,14
84,101,84 Cambridgepark Dr,15
105,113,84 Cambridgepark Dr,16
164,185,84 Cambridgepark Dr,17
174,204,84 Cambridgepark Dr,18
124,143,84 Cambridgepark Dr,19
38,81,84 Cambridgepark Dr,20
17,48,84 Cambridgepark Dr,21
11,9,84 Cambridgepark Dr,22
12,9,84 Cambridgepark Dr,23
8,7,Adams St at Lonsdale St,
14,19,Adams St at Lonsdale St,0
10,12,Adams St at Lonsdale St,1
11,7,Adams St at Lonsdale St,2
3,5,Adams St at Lonsdale St,3
2,2,Adams St at Lonsdale St,4
16,1,Adams St at Lonsdale St,5
6,5,Adams St at Lonsdale St,6
17,5,Adams St at Lonsdale St,7
47,3,Adams St at Lonsdale St,8
38,15,Adams St at Lonsdale St,9
19,10,Adams St at Lonsdale St,10
27,16,Adams St at Lonsdale St,11
41,33,Adams St at Lonsdale St,12
56,32,Adams St at Lonsdale St,13
34,34,Adams St at Lonsdale St,14
42,32,Adams St at Lonsdale St,15
41,47,Adams St at Lonsdale St,16
58,104,Adams St at Lonsdale St,17
42,52,Adams St at Lonsdale St,18
39,59,Adams St at Lonsdale St,19
18,61,Adams St at Lonsdale St,20
19,16,Adams St at Lonsdale St,21
15,20,Adams St at Lonsdale St,22
6,27,Adams St at Lonsdale St,23
182,190,Airport T Stop - Bremen St at Brooks St,
21,11,Airport T Stop - Bremen St at Brooks St,0
20,24,Airport T Stop - Bremen St at Brooks St,1
5,24,Airport T Stop - Bremen St at Brooks St,2
2,5,Airport T Stop - Bremen St at Brooks St,3
8,12,Airport T Stop - Bremen St at Brooks St,4
30,7,Airport T Stop - Bremen St at Brooks St,5
39,20,Airport T Stop - Bremen St at Brooks St,6
100,73,Airport T Stop - Bremen St at Brooks St,7
107,83,Airport T Stop - Bremen St at Brooks St,8
142,115,Airport T Stop - Bremen St at Brooks St,9
164,176,Airport T Stop - Bremen St at Brooks St,10
202,186,Airport T Stop - Bremen St at Brooks St,11
235,250,Airport T Stop - Bremen St at Brooks St,12
235,204,Airport T Stop - Bremen St at Brooks St,13
283,265,Airport T Stop - Bremen St at Brooks St,14
272,278,Airport T Stop - Bremen St at Brooks St,15
334,322,Airport T Stop - Bremen St at Brooks St,16
429,473,Airport T Stop - Bremen St at Brooks St,17
476,486,Airport T Stop - Bremen St at Brooks St,18
391,446,Airport T Stop - Bremen St at Brooks St,19
214,219,Airport T Stop - Bremen St at Brooks St,20
57,93,Airport T Stop - Bremen St at Brooks St,21
34,60,Airport T Stop - Bremen St at Brooks St,22
33,46,Airport T Stop - Bremen St at Brooks St,23
315,315,Albany St at E. Brookline St,
15,23,Albany St at E. Brookline St,0
8,12,Albany St at E. Brookline St,1
2,,Albany St at E. Brookline St,2
2,3,Albany St at E. Brookline St,3
1,3,Albany St at E. Brookline St,4
25,6,Albany St at E. Brookline St,5
38,99,Albany St at E. Brookline St,6
13,244,Albany St at E. Brookline St,7
40,292,Albany St at E. Brookline St,8
54,207,Albany St at E. Brookline St,9
67,130,Albany St at E. Brookline St,10
124,106,Albany St at E. Brookline St,11
153,123,Albany St at E. Brookline St,12
115,112,Albany St at E. Brookline St,13
131,103,Albany St at E. Brookline St,14
177,96,Albany St at E. Brookline St,15
230,124,Albany St at E. Brookline St,16
390,101,Albany St at E. Brookline St,17
215,109,Albany St at E. Brookline St,18
149,112,Albany St at E. Brookline St,19
109,125,Albany St at E. Brookline St,20
66,75,Albany St at E. Brookline St,21
35,48,Albany St at E. Brookline St,22
28,35,Albany St at E. Brookline St,23
287,307,Alewife MBTA at Steel Place,
10,14,Alewife MBTA at Steel Place,0
10,5,Alewife MBTA at Steel Place,1
3,6,Alewife MBTA at Steel Place,2
1,4,Alewife MBTA at Steel Place,3
1,5,Alewife MBTA at Steel Place,4
9,13,Alewife MBTA at Steel Place,5
12,111,Alewife MBTA at Steel Place,6
40,71,Alewife MBTA at Steel Place,7
135,182,Alewife MBTA at Steel Place,8
130,128,Alewife MBTA at Steel Place,9
130,126,Alewife MBTA at Steel Place,10
127,158,Alewife MBTA at Steel Place,11
182,168,Alewife MBTA at Steel Place,12
166,163,Alewife MBTA at Steel Place,13
150,173,Alewife MBTA at Steel Place,14
168,170,Alewife MBTA at Steel Place,15
246,190,Alewife MBTA at Steel Place,16
269,212,Alewife MBTA at Steel Place,17
320,194,Alewife MBTA at Steel Place,18
154,140,Alewife MBTA at Steel Place,19
88,75,Alewife MBTA at Steel Place,20
32,40,Alewife MBTA at Steel Place,21
19,18,Alewife MBTA at Steel Place,22
9,13,Alewife MBTA at Steel Place,23
380,362,Alewife Station at Russell Field,
9,7,Alewife Station at Russell Field,0
9,6,Alewife Station at Russell Field,1
4,4,Alewife Station at Russell Field,2
41,59,Alewife Station at Russell Field,6
102,197,Alewife Station at Russell Field,7
139,110,Alewife Station at Russell Field,8
101,70,Alewife Station at Russell Field,9
104,109,Alewife Station at Russell Field,10
139,135,Alewife Station at Russell Field,11
141,147,Alewife Station at Russell Field,12
154,142,Alewife Station at Russell Field,13
186,185,Alewife Station at Russell Field,14
178,158,Alewife Station at Russell Field,15
197,196,Alewife Station at Russell Field,16
209,228,Alewife Station at Russell Field,17
311,292,Alewife Station at Russell Field,18
217,200,Alewife Station at Russell Field,19
118,74,Alewife Station at Russell Field,20
36,37,Alewife Station at Russell Field,21
16,25,Alewife Station at Russell Field,22
14,7,Alewife Station at Russell Field,23
29,31,American Legion Hwy at Canterbury St,
10,9,American Legion Hwy at Canterbury St,0
2,4,American Legion Hwy at Canterbury St,1
4,5,American Legion Hwy at Canterbury St,2
2,1,American Legion Hwy at Canterbury St,4
2,,American Legion Hwy at Canterbury St,5
2,1,American Legion Hwy at Canterbury St,7
7,7,American Legion Hwy at Canterbury St,8
7,5,American Legion Hwy at Canterbury St,9
7,13,American Legion Hwy at Canterbury St,10
19,18,American Legion Hwy at Canterbury St,11
11,11,American Legion Hwy at Canterbury St,12
12,15,American Legion Hwy at Canterbury St,13
22,16,American Legion Hwy at Canterbury St,14
12,15,American Legion Hwy at Canterbury St,15
36,31,American Legion Hwy at Canterbury St,16
21,22,American Legion Hwy at Canterbury St,17
18,24,American Legion Hwy at Canterbury St,18
8,19,American Legion Hwy at Canterbury St,19
5,17,American Legion Hwy at Canterbury St,20
5,6,American Legion Hwy at Canterbury St,21
9,10,American Legion Hwy at Canterbury St,22
2,4,American Legion Hwy at Canterbury St,23
827,772,Ames St at Broadway,
75,46,Ames St at Broadway,0
51,45,Ames St at Broadway,1
17,18,Ames St at Broadway,2
16,13,Ames St at Broadway,3
9,7,Ames St at Broadway,4
5,45,Ames St at Broadway,5
29,167,Ames St at Broadway,6
51,213,Ames St at Broadway,7
122,425,Ames St at Broadway,8
173,564,Ames St at Broadway,9
219,326,Ames St at Broadway,10
276,312,Ames St at Broadway,11
329,372,Ames St at Broadway,12
362,408,Ames St at Broadway,13
419,335,Ames St at Broadway,14
506,409,Ames St at Broadway,15
507,303,Ames St at Broadway,16
579,371,Ames St at Broadway,17
603,334,Ames St at Broadway,18
488,331,Ames St at Broadway,19
317,192,Ames St at Broadway,20
188,136,Ames St at Broadway,21
151,92,Ames St at Broadway,22
125,106,Ames St at Broadway,23
2132,2740,Ames St at Main St,
84,42,Ames St at Main St,0
49,39,Ames St at Main St,1
38,20,Ames St at Main St,2
18,11,Ames St at Main St,3
16,16,Ames St at Main St,4
11,103,Ames St at Main St,5
38,232,Ames St at Main St,6
109,606,Ames St at Main St,7
381,1057,Ames St at Main St,8
434,1000,Ames St at Main St,9
547,878,Ames St at Main St,10
644,834,Ames St at Main St,11
780,924,Ames St at Main St,12
868,946,Ames St at Main St,13
908,813,Ames St at Main St,14
898,813,Ames St at Main St,15
1018,700,Ames St at Main St,16
1254,734,Ames St at Main St,17
985,504,Ames St at Main St,18
664,430,Ames St at Main St,19
436,306,Ames St at Main St,20
285,192,Ames St at Main St,21
197,112,Ames St at Main St,22
109,72,Ames St at Main St,23
46,58,Andrew T Stop - Dorchester Ave at Dexter St,
36,57,Andrew T Stop - Dorchester Ave at Dexter St,0
33,43,Andrew T Stop - Dorchester Ave at Dexter St,1
23,16,Andrew T Stop - Dorchester Ave at Dexter St,2
9,12,Andrew T Stop - Dorchester Ave at Dexter St,3
48,23,Andrew T Stop - Dorchester Ave at Dexter St,4
81,11,Andrew T Stop - Dorchester Ave at Dexter St,5
127,32,Andrew T Stop - Dorchester Ave at Dexter St,6
154,120,Andrew T Stop - Dorchester Ave at Dexter St,7
253,118,Andrew T Stop - Dorchester Ave at Dexter St,8
153,83,Andrew T Stop - Dorchester Ave at Dexter St,9
98,107,Andrew T Stop - Dorchester Ave at Dexter St,10
201,143,Andrew T Stop - Dorchester Ave at Dexter St,11
186,185,Andrew T Stop - Dorchester Ave at Dexter St,12
165,216,Andrew T Stop - Dorchester Ave at Dexter St,13
167,202,Andrew T Stop - Dorchester Ave at Dexter St,14
181,212,Andrew T Stop - Dorchester Ave at Dexter St,15
217,227,Andrew T Stop - Dorchester Ave at Dexter St,16
331,374,Andrew T Stop - Dorchester Ave at Dexter St,17
314,391,Andrew T Stop - Dorchester Ave at Dexter St,18
230,291,Andrew T Stop - Dorchester Ave at Dexter St,19
126,218,Andrew T Stop - Dorchester Ave at Dexter St,20
84,135,Andrew T Stop - Dorchester Ave at Dexter St,21
55,119,Andrew T Stop - Dorchester Ave at Dexter St,22
44,101,Andrew T Stop - Dorchester Ave at Dexter St,23
747,733,Aquarium T Stop - 200 Atlantic Ave,
135,93,Aquarium T Stop - 200 Atlantic Ave,0
61,35,Aquarium T Stop - 200 Atlantic Ave,1
25,21,Aquarium T Stop - 200 Atlantic Ave,2
10,6,Aquarium T Stop - 200 Atlantic Ave,3
8,11,Aquarium T Stop - 200 Atlantic Ave,4
43,41,Aquarium T Stop - 200 Atlantic Ave,5
84,88,Aquarium T Stop - 200 Atlantic Ave,6
114,147,Aquarium T Stop - 200 Atlantic Ave,7
189,302,Aquarium T Stop - 200 Atlantic Ave,8
210,236,Aquarium T Stop - 200 Atlantic Ave,9
226,244,Aquarium T Stop - 200 Atlantic Ave,10
320,357,Aquarium T Stop - 200 Atlantic Ave,11
378,346,Aquarium T Stop - 200 Atlantic Ave,12
495,469,Aquarium T Stop - 200 Atlantic Ave,13
509,555,Aquarium T Stop - 200 Atlantic Ave,14
667,606,Aquarium T Stop - 200 Atlantic Ave,15
690,706,Aquarium T Stop - 200 Atlantic Ave,16
831,700,Aquarium T Stop - 200 Atlantic Ave,17
601,660,Aquarium T Stop - 200 Atlantic Ave,18
477,520,Aquarium T Stop - 200 Atlantic Ave,19
427,396,Aquarium T Stop - 200 Atlantic Ave,20
345,303,Aquarium T Stop - 200 Atlantic Ave,21
374,295,Aquarium T Stop - 200 Atlantic Ave,22
218,149,Aquarium T Stop - 200 Atlantic Ave,23
98,76,Arch St at Franklin St,
42,16,Arch St at Franklin St,0
20,14,Arch St at Franklin St,1
14,4,Arch St at Franklin St,2
8,5,Arch St at Franklin St,3
9,21,Arch St at Franklin St,5
33,94,Arch St at Franklin St,6
92,331,Arch St at Franklin St,7
61,405,Arch St at Franklin St,8
81,259,Arch St at Franklin St,9
178,283,Arch St at Franklin St,10
275,252,Arch St at Franklin St,11
289,356,Arch St at Franklin St,12
297,287,Arch St at Franklin St,13
309,302,Arch St at Franklin St,14
403,357,Arch St at Franklin St,15
473,385,Arch St at Franklin St,16
708,401,Arch St at Franklin St,17
530,344,Arch St at Franklin St,18
335,188,Arch St at Franklin St,19
190,128,Arch St at Franklin St,20
131,107,Arch St at Franklin St,21
97,72,Arch St at Franklin St,22
74,56,Arch St at Franklin St,23
10,15,Archdale Rd at Washington St,
6,4,Archdale Rd at Washington St,0
5,6,Archdale Rd at Washington St,1
2,1,Archdale Rd at Washington St,2
1,,Archdale Rd at Washington St,4
1,,Archdale Rd at Washington St,5
6,3,Archdale Rd at Washington St,6
18,27,Archdale Rd at Washington St,7
7,9,Archdale Rd at Washington St,8
16,16,Archdale Rd at Washington St,9
37,22,Archdale Rd at Washington St,10
29,47,Archdale Rd at Washington St,11
43,34,Archdale Rd at Washington St,12
52,40,Archdale Rd at Washington St,13
35,46,Archdale Rd at Washington St,14
62,66,Archdale Rd at Washington St,15
90,88,Archdale Rd at Washington St,16
89,88,Archdale Rd at Washington St,17
69,68,Archdale Rd at Washington St,18
65,77,Archdale Rd at Washington St,19
33,43,Archdale Rd at Washington St,20
26,47,Archdale Rd at Washington St,21
14,14,Archdale Rd at Washington St,22
7,22,Archdale Rd at Washington St,23
90,100,Ashmont T Stop,
35,10,Ashmont T Stop,0
2,4,Ashmont T Stop,1
2,3,Ashmont T Stop,2
2,6,Ashmont T Stop,4
24,22,Ashmont T Stop,5
44,16,Ashmont T Stop,6
38,11,Ashmont T Stop,7
9,29,Ashmont T Stop,8
24,31,Ashmont T Stop,9
16,25,Ashmont T Stop,10
29,56,Ashmont T Stop,11
52,45,Ashmont T Stop,12
38,49,Ashmont T Stop,13
38,47,Ashmont T Stop,14
38,42,Ashmont T Stop,15
53,57,Ashmont T Stop,16
43,93,Ashmont T Stop,17
48,58,Ashmont T Stop,18
48,35,Ashmont T Stop,19
31,24,Ashmont T Stop,20
26,16,Ashmont T Stop,21
22,15,Ashmont T Stop,22
23,12,Ashmont T Stop,23
230,295,Assembly Square T,
37,37,Assembly Square T,0
11,12,Assembly Square T,1
2,1,Assembly Square T,2
3,,Assembly Square T,3
1,1,Assembly Square T,4
7,25,Assembly Square T,5
26,22,Assembly Square T,6
40,42,Assembly Square T,7
93,82,Assembly Square T,8
142,112,Assembly Square T,9
94,90,Assembly Square T,10
121,165,Assembly Square T,11
157,204,Assembly Square T,12
163,212,Assembly Square T,13
179,217,Assembly Square T,14
184,242,Assembly Square T,15
244,277,Assembly Square T,16
279,396,Assembly Square T,17
270,329,Assembly Square T,18
257,221,Assembly Square T,19
139,121,Assembly Square T,20
104,54,Assembly Square T,21
39,43,Assembly Square T,22
58,26,Assembly Square T,23
867,870,B.U. Central - 725 Comm. Ave.,
46,32,B.U. Central - 725 Comm. Ave.,0
20,17,B.U. Central - 725 Comm. Ave.,1
11,10,B.U. Central - 725 Comm. Ave.,2
5,3,B.U. Central - 725 Comm. Ave.,3
5,7,B.U. Central - 725 Comm. Ave.,4
3,74,B.U. Central - 725 Comm. Ave.,5
14,30,B.U. Central - 725 Comm. Ave.,6
37,154,B.U. Central - 725 Comm. Ave.,7
92,224,B.U. Central - 725 Comm. Ave.,8
100,234,B.U. Central - 725 Comm. Ave.,9
180,238,B.U. Central - 725 Comm. Ave.,10
246,219,B.U. Central - 725 Comm. Ave.,11
330,315,B.U. Central - 725 Comm. Ave.,12
325,373,B.U. Central - 725 Comm. Ave.,13
382,336,B.U. Central - 725 Comm. Ave.,14
414,380,B.U. Central - 725 Comm. Ave.,15
450,389,B.U. Central - 725 Comm. Ave.,16
532,519,B.U. Central - 725 Comm. Ave.,17
542,525,B.U. Central - 725 Comm. Ave.,18
422,353,B.U. Central - 725 Comm. Ave.,19
291,211,B.U. Central - 725 Comm. Ave.,20
177,142,B.U. Central - 725 Comm. Ave.,21
111,80,B.U. Central - 725 Comm. Ave.,22
79,68,B.U. Central - 725 Comm. Ave.,23
1,1,BCBS Hingham,11
3,3,BCBS Hingham,17
3,3,BCBS Quincy,
1,1,BCBS Quincy,8
1,1,BCBS Quincy,10
2,1,BCBS Quincy,12
5,6,BCBS Quincy,13
1,2,BCBS Quincy,15
1,,BCBS Quincy,18
3,3,BCBS Quincy,19
3,4,BCBS Quincy,20
1112,1084,Back Bay T Stop - Dartmouth St at Stuart St,
37,39,Back Bay T Stop - Dartmouth St at Stuart St,0
28,65,Back Bay T Stop - Dartmouth St at Stuart St,1
11,84,Back Bay T Stop - Dartmouth St at Stuart St,2
22,18,Back Bay T Stop - Dartmouth St at Stuart St,3
44,8,Back Bay T Stop - Dartmouth St at Stuart St,4
39,76,Back Bay T Stop - Dartmouth St at Stuart St,5
86,154,Back Bay T Stop - Dartmouth St at Stuart St,6
214,149,Back Bay T Stop - Dartmouth St at Stuart St,7
306,242,Back Bay T Stop - Dartmouth St at Stuart St,8
284,187,Back Bay T Stop - Dartmouth St at Stuart St,9
193,184,Back Bay T Stop - Dartmouth St at Stuart St,10
208,251,Back Bay T Stop - Dartmouth St at Stuart St,11
286,253,Back Bay T Stop - Dartmouth St at Stuart St,12
283,277,Back Bay T Stop - Dartmouth St at Stuart St,13
306,319,Back Bay T Stop - Dartmouth St at Stuart St,14
274,313,Back Bay T Stop - Dartmouth St at Stuart St,15
308,399,Back Bay T Stop - Dartmouth St at Stuart St,16
346,480,Back Bay T Stop - Dartmouth St at Stuart St,17
412,364,Back Bay T Stop - Dartmouth St at Stuart St,18
324,222,Back Bay T Stop - Dartmouth St at Stuart St,19
206,140,Back Bay T Stop - Dartmouth St at Stuart St,20
112,104,Back Bay T Stop - Dartmouth St at Stuart St,21
105,99,Back Bay T Stop - Dartmouth St at Stuart St,22
64,87,Back Bay T Stop - Dartmouth St at Stuart St,23
131,149,Ball Sq,
8,19,Ball Sq,0
2,3,Ball Sq,1
2,1,Ball Sq,2
3,,Ball Sq,4
12,10,Ball Sq,5
23,15,Ball Sq,6
39,17,Ball Sq,7
41,26,Ball Sq,8
75,39,Ball Sq,9
38,27,Ball Sq,10
55,42,Ball Sq,11
55,59,Ball Sq,12
66,68,Ball Sq,13
68,59,Ball Sq,14
69,51,Ball Sq,15
84,65,Ball Sq,16
119,97,Ball Sq,17
67,126,Ball Sq,18
57,78,Ball Sq,19
44,63,Ball Sq,20
22,33,Ball Sq,21
22,29,Ball Sq,22
12,34,Ball Sq,23
189,134,Bartlett St at John Elliot Sq,
9,29,Bartlett St at John Elliot Sq,0
10,25,Bartlett St at John Elliot Sq,1
6,14,Bartlett St at John Elliot Sq,2
10,10,Bartlett St at John Elliot Sq,3
37,3,Bartlett St at John Elliot Sq,4
90,6,Bartlett St at John Elliot Sq,5
220,13,Bartlett St at John Elliot Sq,6
115,35,Bartlett St at John Elliot Sq,7
105,36,Bartlett St at John Elliot Sq,8
89,18,Bartlett St at John Elliot Sq,9
105,38,Bartlett St at John Elliot Sq,10
113,36,Bartlett St at John Elliot Sq,11
97,74,Bartlett St at John Elliot Sq,12
103,64,Bartlett St at John Elliot Sq,13
120,67,Bartlett St at John Elliot Sq,14
97,108,Bartlett St at John Elliot Sq,15
109,131,Bartlett St at John Elliot Sq,16
157,186,Bartlett St at John Elliot Sq,17
123,203,Bartlett St at John Elliot Sq,18
94,169,Bartlett St at John Elliot Sq,19
82,90,Bartlett St at John Elliot Sq,20
35,55,Bartlett St at John Elliot Sq,21
50,61,Bartlett St at John Elliot Sq,22
25,61,Bartlett St at John Elliot Sq,23
319,343,Beacon St at Charles St,
80,67,Beacon St at Charles St,0
50,52,Beacon St at Charles St,1
25,19,Beacon St at Charles St,2
7,8,Beacon St at Charles St,3
36,10,Beacon St at Charles St,4
73,18,Beacon St at Charles St,5
140,132,Beacon St at Charles St,6
171,163,Beacon St at Charles St,7
220,216,Beacon St at Charles St,8
211,328,Beacon St at Charles St,9
312,322,Beacon St at Charles St,10
362,456,Beacon St at Charles St,11
453,613,Beacon St at Charles St,12
589,660,Beacon St at Charles St,13
631,674,Beacon St at Charles St,14
759,711,Beacon St at Charles St,15
720,759,Beacon St at Charles St,16
823,932,Beacon St at Charles St,17
859,817,Beacon St at Charles St,18
768,599,Beacon St at Charles St,19
478,371,Beacon St at Charles St,20
283,236,Beacon St at Charles St,21
194,210,Beacon St at Charles St,22
139,116,Beacon St at Charles St,23
5,7,Beacon St at Englewood Ave,0
8,11,Beacon St at Englewood Ave,1
1,1,Beacon St at Englewood Ave,2
2,,Beacon St at Englewood Ave,3
